type,date,price,shares,return
buy,2020-01-03 05:00:00,146.59083557128906,68.21708847642708,
sell,2020-01-08 05:00:00,144.09640502929688,,-0.017016278898138303
buy,2020-01-09 05:00:00,143.82142639160156,68.34751578845855,
sell,2020-01-14 05:00:00,144.5088653564453,,0.004779809115311993
buy,2020-01-15 05:00:00,144.65618896484375,68.2779079637047,
sell,2020-01-21 05:00:00,141.7787628173828,,-0.019891483164679858
buy,2020-01-22 05:00:00,141.53326416015625,68.39634043837978,
sell,2020-01-27 05:00:00,135.5231170654297,,-0.042464555102223876
buy,2020-01-28 05:00:00,138.71478271484375,66.82262027640135,
sell,2020-02-03 05:00:00,138.94064331054688,,0.0016282373895753206
buy,2020-02-04 05:00:00,144.75439453125,64.1388323923752,
sell,2020-02-10 05:00:00,143.11434936523438,,-0.011329847161645703
buy,2020-02-11 05:00:00,144.54815673828125,63.502624135847164,
sell,2020-02-18 05:00:00,142.33856201171875,,-0.01528621863067538
buy,2020-02-19 05:00:00,144.9802703857422,62.34553280537999,
sell,2020-02-24 05:00:00,132.41001892089844,,-0.08670318679499406
buy,2020-02-25 05:00:00,121.85295867919922,67.74700645658635,
sell,2020-03-02 05:00:00,121.23724365234376,,-0.005052934565802705
buy,2020-03-03 05:00:00,112.67884826660156,72.89265425451252,
sell,2020-03-09 04:00:00,102.73021697998048,,-0.08829191493937102
buy,2020-03-10 04:00:00,108.43909454345705,69.055152289305,
sell,2020-03-16 04:00:00,85.20919036865234,,-0.21422075011420627
buy,2020-03-17 04:00:00,74.18582153320312,79.31614823086005,
sell,2020-03-23 04:00:00,69.14742279052734,,-0.06791592569236105
buy,2020-03-24 04:00:00,78.03118896484375,70.28609083870826,
sell,2020-03-30 04:00:00,75.09293365478516,,-0.037654883246523364
buy,2020-03-31 04:00:00,73.76184844970703,71.5544535167663,
sell,2020-04-06 04:00:00,69.6009750366211,,-0.05640955996273523
buy,2020-04-07 04:00:00,72.78572845458984,68.42357476832345,
sell,2020-04-13 04:00:00,76.99588775634766,,0.05784319798879915
buy,2020-04-14 04:00:00,81.52159118652344,64.62501290849211,
sell,2020-04-20 04:00:00,78.65235900878906,,-0.03519597858645202
buy,2020-04-21 04:00:00,78.7805404663086,64.51986348583269,
sell,2020-04-27 04:00:00,84.07530212402344,,0.06720900397959582
buy,2020-04-28 04:00:00,86.19517517089844,62.93307026544082,
sell,2020-05-04 04:00:00,81.4229965209961,,-0.05536480018099141
buy,2020-05-05 04:00:00,82.48786163330078,62.12064490237585,
sell,2020-05-11 04:00:00,81.15677642822266,,-0.016136740348482486
buy,2020-05-12 04:00:00,78.2185287475586,64.45418202878797,
sell,2020-05-18 04:00:00,92.30831146240234,,0.1801335686115616
buy,2020-05-19 04:00:00,89.39964294433594,66.55123570764424,
sell,2020-05-26 04:00:00,93.59010314941406,,0.04687334386432936
buy,2020-05-27 04:00:00,96.58750915527344,64.48594718998746,
sell,2020-06-01 04:00:00,93.69855499267578,,-0.029910225326893903
buy,2020-06-02 04:00:00,94.27043151855467,64.09475348425205,
sell,2020-06-08 04:00:00,111.55482482910156,,0.18334904202856978
buy,2020-06-09 04:00:00,105.8163604736328,67.57063808844411,
sell,2020-06-15 04:00:00,89.5179672241211,,-0.15402526770492092
buy,2020-06-16 04:00:00,92.67312622070312,65.27012104144376,
sell,2020-06-22 04:00:00,88.91651916503906,,-0.04053609939431221
buy,2020-06-23 04:00:00,89.350341796875,64.95321508315632,
sell,2020-06-29 04:00:00,85.38667297363281,,-0.04436098109454368
buy,2020-06-30 04:00:00,84.52885437011719,65.61237551626141,
sell,2020-07-06 04:00:00,88.57141876220703,,0.04782466794580123
buy,2020-07-07 04:00:00,86.20504760742188,67.41346764633809,
sell,2020-07-13 04:00:00,86.27406311035156,,0.0008005970049919162
buy,2020-07-14 04:00:00,85.8993911743164,67.70750854805578,
sell,2020-07-20 04:00:00,87.2403335571289,,0.015610615680515286
buy,2020-07-21 04:00:00,88.6995849609375,66.59361069903379,
sell,2020-07-27 04:00:00,85.06129455566406,,-0.041018122090150794
buy,2020-07-28 04:00:00,85.33737182617188,66.37817188387437,
sell,2020-08-03 04:00:00,82.34981536865234,,-0.03500877040840958
buy,2020-08-04 04:00:00,84.89366912841797,64.38913826279557,
sell,2020-08-10 04:00:00,95.76912689208984,,0.12810681733193388
buy,2020-08-11 04:00:00,95.65081787109376,64.46878019456575,
sell,2020-08-17 04:00:00,94.37889862060548,,-0.01329752613513891
buy,2020-08-18 04:00:00,93.11682891845705,65.34256525751371,
sell,2020-08-24 04:00:00,96.51847839355467,,0.036530984942329515
buy,2020-08-25 04:00:00,97.38614654541016,64.76039145923075,
